Data do Jogo,Adversário,Vitória/Derrota,Casa/Fora,Placar Atlanta Hawks,Placar Adversário
2024-04-17,CHI,L,Away,116,
2024-04-14,IND,L,Away,115,
2024-04-12,MIN,L,Away,106,
2024-04-10,ATL vs. CHA,L,Home,114,
2024-04-09,ATL vs. MIA,L,Home,111,
2024-04-06,DEN,L,Away,110,
2024-04-04,DAL,L,Away,95,
2024-04-03,ATL vs. DET,W,Home,121,
2024-04-01,CHI,W,Away,113,
2024-03-30,ATL vs. MIL,L,Home,113,
2024-03-28,ATL vs. BOS,W,Home,123,
2024-03-27,ATL vs. POR,W,Home,120,
2024-03-25,ATL vs. BOS,W,Home,120,
2024-03-23,ATL vs. CHA,W,Home,132,
2024-03-21,PHX,L,Away,115,
2024-03-18,LAL,L,Away,105,
2024-03-17,LAC,W,Away,110,
2024-03-15,UTA,L,Away,122,
2024-03-13,POR,L,Away,102,
2024-03-10,ATL vs. NOP,L,Home,103,
2024-03-08,MEM,W,Away,99,
2024-03-06,ATL vs. CLE,W,Home,112,
2024-03-05,NYK,W,Away,116,
2024-03-02,BKN,L,Away,102,
2024-02-29,BKN,L,Away,97,
2024-02-27,ATL vs. UTA,W,Home,124,
2024-02-25,ATL vs. ORL,W,Home,109,
2024-02-23,ATL vs. TOR,L,Home,121,
2024-02-14,CHA,L,Away,99,
2024-02-12,ATL vs. CHI,L,Home,126,
2024-02-10,ATL vs. HOU,W,Home,122,
2024-02-09,PHI,W,Away,127,
2024-02-07,BOS,L,Away,117,
2024-02-05,ATL vs. LAC,L,Home,144,
2024-02-03,ATL vs. GSW,W,Home,141,
2024-02-02,ATL vs. PHX,W,Home,129,
2024-01-30,ATL vs. LAL,W,Home,138,
2024-01-28,ATL vs. TOR,W,Home,126,
2024-01-26,ATL vs. DAL,L,Home,143,
2024-01-24,GSW,L,Away,112,
2024-01-22,SAC,L,Away,107,
2024-01-20,ATL vs. CLE,L,Home,95,
2024-01-19,MIA,W,Away,109,
2024-01-17,ATL vs. ORL,W,Home,106,
2024-01-15,ATL vs. SAS,W,Home,109,
2024-01-13,ATL vs. WAS,L,Home,99,
2024-01-12,ATL vs. IND,L,Home,108,
2024-01-10,ATL vs. PHI,W,Home,139,
2024-01-07,ORL,L,Away,110,
2024-01-05,IND,L,Away,116,
2024-01-03,ATL vs. OKC,W,Home,141,
2023-12-31,WAS,W,Away,130,
2023-12-29,ATL vs. SAC,L,Home,110,
2023-12-26,CHI,L,Away,113,
2023-12-23,ATL vs. MEM,L,Home,119,
2023-12-22,MIA,L,Away,113,
2023-12-20,HOU,W,Away,134,
2023-12-18,ATL vs. DET,W,Home,130,
2023-12-16,CLE,L,Away,119,
2023-12-15,TOR,W,Away,125,
2023-12-13,TOR,L,Away,128,
2023-12-11,ATL vs. DEN,L,Home,122,
2023-12-08,PHI,L,Away,114,
2023-12-06,ATL vs. BKN,L,Home,113,
2023-12-02,MIL,L,Away,121,
2023-11-30,SAS,W,Away,137,
2023-11-28,CLE,L,Away,105,
2023-11-26,BOS,L,Away,103,
2023-11-25,WAS,W,Away,136,
2023-11-22,ATL vs. BKN,W,Home,147,
2023-11-21,ATL vs. IND,L,Home,152,
2023-11-17,ATL vs. PHI,L,Home,116,
2023-11-15,ATL vs. NYK,L,Home,114,
2023-11-14,DET,W,Away,126,
2023-11-11,ATL vs. MIA,L,Home,109,
2023-11-09,ORL,W,Away,120,
2023-11-06,OKC,L,Away,117,
2023-11-04,NOP,W,Away,123,
2023-11-01,ATL vs. WAS,W,Home,130,
2023-10-30,ATL vs. MIN,W,Home,127,
2023-10-29,MIL,W,Away,127,
2023-10-27,ATL vs. NYK,L,Home,120,
2023-10-25,CHA,L,Away,110,
2023-10-20,PHI,L,Away,106,
2023-10-16,IND,L,Away,112,
2023-10-14,ATL vs. NOP,W,Home,110,
2023-10-12,ATL vs. MEM,W,Home,103,
2023-10-10,ATL vs. CLE,W,Home,108,
