Jogador,Data do Jogo,Adversário,Vitória/Derrota,Casa/Fora,Pontos,Rebotes,Assistências,Tentativas de 3 PTS,Cestas de 3 PTS,Tempo de Permanência do Jogador em Quadra
Clint Capela,2025-01-27T00:00:00,MIN,L,Away,10,15,3,0,0,21:14
Clint Capela,2025-01-25T00:00:00,TOR,L,Home,5,4,0,0,0,13:55
Clint Capela,2025-01-22T00:00:00,DET,L,Home,16,10,0,0,0,21:12
Clint Capela,2025-01-20T00:00:00,NYK,L,Away,12,9,0,0,0,19:34
Clint Capela,2025-01-18T00:00:00,BOS,W,Away,3,9,1,0,0,20:57
Clint Capela,2025-01-15T00:00:00,CHI,W,Away,11,10,1,0,0,21:03
Clint Capela,2025-01-14T00:00:00,PHX,W,Home,3,8,0,0,0,19:50
Clint Capela,2025-01-09T00:00:00,PHX,L,Away,10,11,2,0,0,25:54
Clint Capela,2025-01-07T00:00:00,UTA,W,Away,18,6,0,0,0,25:15
Clint Capela,2025-01-04T00:00:00,LAC,L,Away,6,7,1,0,0,18:31
Clint Capela,2025-01-03T00:00:00,LAL,L,Away,8,7,2,0,0,22:27
Clint Capela,2025-01-01T00:00:00,DEN,L,Away,4,7,1,0,0,19:35
Clint Capela,2024-12-29T00:00:00,TOR,W,Away,11,12,2,0,0,26:35
Clint Capela,2024-12-28T00:00:00,MIA,W,Home,6,7,1,0,0,21:22
Clint Capela,2024-12-26T00:00:00,CHI,W,Home,8,4,2,0,0,25:05
Clint Capela,2024-12-23T00:00:00,MIN,W,Home,4,8,2,0,0,25:30
Clint Capela,2024-12-21T00:00:00,MEM,L,Home,8,8,0,0,0,18:40
Clint Capela,2024-12-19T00:00:00,SAS,L,Away,10,9,1,0,0,21:35
Clint Capela,2024-12-14T00:00:00,MIL,L,Away,6,8,0,0,0,28:44
Clint Capela,2024-12-11T00:00:00,NYK,W,Away,11,13,1,0,0,24:49
Clint Capela,2024-12-08T00:00:00,DEN,L,Home,9,10,1,0,0,19:01
Clint Capela,2024-12-06T00:00:00,LAL,W,Home,4,4,2,0,0,23:55
Clint Capela,2024-12-04T00:00:00,MIL,W,Away,8,17,1,0,0,23:41
Clint Capela,2024-12-02T00:00:00,NOP,W,Home,9,17,2,0,0,28:46
Clint Capela,2024-11-30T00:00:00,CHA,W,Away,4,14,1,0,0,19:57
Clint Capela,2024-11-29T00:00:00,CLE,W,Home,8,13,1,0,0,25:27
Clint Capela,2024-11-27T00:00:00,CLE,W,Away,2,9,3,0,0,18:32
Clint Capela,2024-11-25T00:00:00,DAL,L,Home,12,5,1,0,0,22:23
Clint Capela,2024-11-22T00:00:00,CHI,L,Away,21,11,3,0,0,26:41
Clint Capela,2024-11-20T00:00:00,GSW,L,Away,11,10,1,0,0,22:24
Clint Capela,2024-11-18T00:00:00,SAC,W,Away,14,14,1,0,0,28:28
Clint Capela,2024-11-17T00:00:00,POR,L,Away,8,8,3,0,0,19:55
Clint Capela,2024-11-15T00:00:00,WAS,W,Home,10,13,1,0,0,22:03
Clint Capela,2024-11-12T00:00:00,BOS,W,Away,18,9,1,0,0,16:52
Clint Capela,2024-11-09T00:00:00,CHI,L,Home,20,9,1,0,0,25:35
Clint Capela,2024-11-08T00:00:00,DET,L,Away,7,12,2,0,0,18:40
Clint Capela,2024-11-06T00:00:00,NYK,W,Home,18,6,1,0,0,27:52
Clint Capela,2024-11-04T00:00:00,BOS,L,Home,2,5,1,0,0,16:47
