Estatística,Métrica,Valor,Probabilidade Acima,Probabilidade Abaixo
Pontos,mean,-5.465713352000771e-17,0.4230769230769231,0.5769230769230769
Pontos,median,-0.0375792181367366,0.4230769230769231,0.5384615384615384
Pontos,mode,0.0709829675916134,0.38461538461538464,0.5769230769230769
Pontos,max,2.785037610800364,0.0,1.0
Pontos,min,-1.6660120040619868,0.9615384615384616,0.0
Rebotes,mean,6.148927521000867e-17,0.46153846153846156,0.5384615384615384
Rebotes,median,-0.0160559236346042,0.46153846153846156,0.46153846153846156
Rebotes,mode,-0.7118126144674576,0.7692307692307693,0.19230769230769232
Rebotes,max,2.30313304580824,0.0,1.0
Rebotes,min,-1.6394882022445951,1.0,0.0
Assistências,mean,1.6397140056002313e-16,0.34615384615384615,0.6538461538461539
Assistências,median,-0.2122839213290144,0.38461538461538464,0.5769230769230769
Assistências,mode,-0.9735779840261698,0.6923076923076923,0.07692307692307693
Assistências,max,3.023215845133896,0.0,1.0
Assistências,min,-1.1639014997004586,0.9230769230769231,0.0
